gtc	number_snps	ploidy	ploidy_type	sample_name	sample_plate	sample_well	cluster_file	snp_manifest	scan_date	autocall_date	autocall_version	number_normalization_transforms	number_x_controls	number_y_controls	scanner_name	pmt_green	pmt_red	scanner_software_version	scanner_username	call_rate	computed_gender	logr_deviation	gencall_score_10_percentile	dx	gencall_score_50_percentile	number_valid_calls	number_invalid_calls	number_intensity_only_or_zeroed_loci	p05_x	p50_x	p95_x	p05_y	p50_y	p95_y	sentrix_barcode
9806219011_R05C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/26/2014 3:54:27 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.990541	M	0.224937	0.457274	0	0.891654	170487	1628	1547	292	6212	18673	191	5256	10089	9806219011
9806219011_R04C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/26/2014 2:08:33 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.990960	F	0.218735	0.457242	0	0.891759	170559	1556	1547	279	5555	17516	173	4952	9416	9806219011
9806219011_R05C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/26/2014 2:23:45 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.989768	F	0.208669	0.454101	0	0.890424	170354	1761	1547	287	5726	17546	179	4866	9580	9806219011
9806219011_R06C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/26/2014 2:38:52 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.983662	M	0.265126	0.453315	0	0.890242	169303	2812	1547	234	4368	17435	138	4934	11433	9806219011
9806219002_R02C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	7/23/2014 6:20:05 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.990251	F	0.249194	0.454101	0	0.890280	170437	1678	1547	218	3429	14442	164	2556	5347	9806219002
9806219002_R03C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	7/23/2014 6:35:08 PM	05/12/2023 6:28 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.991064	F	0.241618	0.455221	0	0.891594	170577	1538	1547	237	4266	15009	185	3081	5888	9806219002
9806219002_R04C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	7/23/2014 6:50:16 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.992058	F	0.236384	0.454101	0	0.891250	170748	1367	1547	269	4697	15945	210	3690	7093	9806219002
9933510084_R03C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	10/9/2014 9:38:58 PM	05/12/2023 6:28 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.990593	F	0.253817	0.454101	0	0.890102	170496	1619	1547	254	3742	14962	152	3195	6966	9933510084
9933510084_R04C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	10/9/2014 9:54:08 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.988328	M	0.279933	0.454101	0	0.889858	170106	2009	1547	238	3037	12801	161	3050	6756	9933510084
9933510072_R01C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	10/9/2014 7:32:14 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.993551	M	0.202792	0.459403	0	0.891904	171005	1110	1547	272	4141	14274	138	2963	6035	9933510072
9933510200_R06C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	10/10/2014 1:31:25 AM	05/12/2023 6:28 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.978416	F	0.489571	0.445317	0	0.885933	168400	3715	1547	169	1523	9086	133	2173	6951	9933510200
9933510084_R04C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	10/9/2014 11:24:42 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.988206	F	0.277627	0.452254	0	0.889487	170085	2030	1547	242	3236	12785	148	3487	7463	9933510084
9388954081_R03C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	9/6/2013 8:41:17 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.990001	F	0.265680	0.454007	0	0.890050	170394	1721	1547	274	5207	17289	185	5050	9176	9388954081
9388954081_R01C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	9/6/2013 9:41:55 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.989821	F	0.219851	0.447313	0	0.889437	170363	1752	1547	184	4062	13801	122	4148	7713	9388954081
9388954081_R05C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	9/6/2013 9:11:36 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.987264	F	0.269734	0.445317	0	0.887623	169923	2192	1547	245	4347	19818	153	6035	12901	9388954081
9933510117_R02C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	9/11/2014 8:45:40 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.991448	F	0.230348	0.454101	0	0.890305	170643	1472	1547	186	2929	11826	109	2269	4728	9933510117
9388954081_R06C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	9/6/2013 9:26:39 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.989344	F	0.241189	0.445317	0	0.888736	170281	1834	1547	275	5876	22289	135	7775	14908	9388954081
9255905114_R06C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	4/11/2013 10:12:39 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.992383	F	0.231612	0.454101	0	0.889999	170804	1311	1547	321	4217	19032	169	6754	14102	9255905114
9255905114_R02C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	4/11/2013 9:12:09 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.992714	M	0.211687	0.454101	0	0.890242	170861	1254	1547	266	5064	18085	152	4659	9057	9255905114
9255905114_R03C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	4/11/2013 9:27:13 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.992092	F	0.211236	0.454101	0	0.890063	170754	1361	1547	278	5499	19339	171	5216	10043	9255905114
9255473015_R01C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	2/28/2013 6:35:55 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.991111	F	0.197867	0.445317	0	0.888907	170585	1530	1547	276	5355	19349	170	3933	7920	9255473015
5092291053_R06C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	2/16/2010 11:07:54 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	abdel	0.991761	M	0.392666	0.454101	0	0.890892	170697	1418	1547	226	1495	11149	80	5614	12934	5092291053
5092291017_R02C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	3/3/2010 3:29:38 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.994678	M	0.241156	0.459403	0	0.892517	171199	916	1547	219	2238	9499	221	3042	6317	5092291017
9255473005_R01C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	2/28/2013 3:28:47 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.990936	F	0.214632	0.453385	0	0.889872	170555	1560	1547	342	5215	23172	232	3944	8245	9255473005
9255473005_R05C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	2/28/2013 4:29:15 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.992697	F	0.215168	0.453804	0	0.889702	170858	1257	1547	361	7626	27890	201	6831	13451	9255473005
9534484014_R06C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	4/21/2014 12:56:29 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.983912	F	0.283323	0.445317	0	0.887189	169346	2769	1547	316	5047	22135	220	6095	12300	9534484014
9388954081_R04C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	9/6/2013 8:56:28 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.989124	M	0.236294	0.452352	0	0.889780	170243	1872	1547	281	4963	17986	204	5363	10102	9388954081
