idat	number_probes	number_mid_blocks	red_green	manifest_file	sentrix_barcode	chip_type	sentrix_position	opa	sample_name	description	sample_plate	sample_well	unknown1	unknown2	chip_type_guess	scan_date	scanner_data
6331273011_R05C02_Grn.idat	191668	191668	00 00 00 00		6331273011	BeadChip 12x1Q	R05C02								CanineHD	4/9/2012 12:08:43 PM	sherlockID=N296|ScannerID=N296|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337002_R01C02_Grn.idat	191668	191668	00 00 00 00		6331337002	BeadChip 12x1Q	R01C02								CanineHD	4/6/2012 2:44:41 PM	sherlockID=N370|ScannerID=N370|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331409002_R03C01_Grn.idat	191668	191668	00 00 00 00		6331409002	BeadChip 12x1Q	R03C01								CanineHD	4/7/2012 5:33:25 AM	sherlockID=N370|ScannerID=N370|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331409002_R05C02_Grn.idat	191668	191668	00 00 00 00		6331409002	BeadChip 12x1Q	R05C02								CanineHD	4/7/2012 5:47:23 AM	sherlockID=N370|ScannerID=N370|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6241420009_R01C02_Grn.idat	191668	191668	00 00 00 00		6241420009	BeadChip 12x1Q	R01C02								CanineHD	4/6/2012 4:22:47 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331409006_R03C01_Grn.idat	191668	191668	00 00 00 00		6331409006	BeadChip 12x1Q	R03C01								CanineHD	4/7/2012 5:51:12 AM	sherlockID=N296|ScannerID=N296|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331409006_R05C02_Grn.idat	191668	191668	00 00 00 00		6331409006	BeadChip 12x1Q	R05C02								CanineHD	4/7/2012 6:05:44 AM	sherlockID=N296|ScannerID=N296|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6241420007_R02C02_Grn.idat	191668	191668	00 00 00 00		6241420007	BeadChip 12x1Q	R02C02								CanineHD	4/9/2012 12:27:09 PM	sherlockID=N370|ScannerID=N370|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6241420029_R04C01_Grn.idat	191668	191668	00 00 00 00		6241420029	BeadChip 12x1Q	R04C01								CanineHD	4/7/2012 5:29:09 AM	sherlockID=N296|ScannerID=N296|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6241420009_R05C01_Grn.idat	191668	191668	00 00 00 00		6241420009	BeadChip 12x1Q	R05C01								CanineHD	4/6/2012 4:18:56 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
